YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2024,2,10,0,32,23.4,67,3,130
2024,2,11,0,32.9,24.5,58,3,90
2024,2,12,0,31.7,23.3,60,4,100
2024,2,13,0,32.3,24.9,65,3,120
2024,2,14,0,32.8,24.6,68,3,110
2024,2,15,0,33.8,25.2,67,3,120
2024,2,16,0,32.5,25.1,65,3,110
2024,2,17,0,32.1,23.6,71,3,110
2024,2,18,0,33.1,24.6,64,3,120
2024,2,19,0,33.1,23.9,64,3,100
2024,2,20,0,32.8,25.2,64,4,110
2024,2,21,0,33.1,24.1,64,3,120
2024,2,22,0,33.5,24.9,70,4,120
2024,2,23,0,32.6,26,68,3,120
2024,2,24,-1,34,25.3,62,3,90
2024,2,25,0,32.4,25.4,70,4,110
2024,2,26,0,33.8,23,58,4,110
2024,2,27,0,32.8,22.9,59,4,110
2024,2,28,0,32.9,22.8,60,4,90
2024,2,29,0,33.2,24.1,64,3,120
2024,3,1,0,33.6,23.8,61,3,120
2024,3,2,0,32.5,23.2,63,4,120
2024,3,3,0,32.9,25.4,64,3,110
2024,3,4,0,32.7,26.8,69,3,140
2024,3,5,0,33.9,23.4,65,3,130
2024,3,6,0,35.9,25.9,56,2,110
2024,3,7,0,34.2,26.1,62,3,120
2024,3,8,0,33.1,25.9,64,3,120
2024,3,9,0,32.1,25.8,69,3,110
2024,3,10,0,33.1,25,61,3,110
2024,3,11,-1,32.3,25.5,68,2,150
2024,3,12,-1,32.7,26.9,71,3,120
2024,3,13,0,33.1,26,62,4,110
2024,3,14,-1,33.9,25.8,62,3,120
2024,3,15,-1,31,26.2,70,3,120
2024,3,16,0,33.9,26,65,4,120
2024,3,17,0,33.4,26.2,64,3,110
2024,3,18,0,33.8,24.2,58,3,110
2024,3,19,0,33.6,25.3,60,3,120
2024,3,20,-1,33.1,23.5,64,4,120
2024,3,21,-1,31.1,23.3,68,3,90
2024,3,22,-1,31.5,25.2,69,4,120
2024,3,23,-1,33.7,25.4,69,4,110
2024,3,24,0,34.3,26.8,62,4,110
2024,3,25,0,34,26.5,61,4,130
2024,3,26,-1,35,27.4,71,3,130
2024,3,27,-1,35.3,27.3,71,4,140
2024,3,28,11.5,35.8,26.4,67,3,120
2024,3,29,0,34.8,26.1,72,3,120
2024,3,30,0,35,24.3,65,4,120
2024,3,31,0,34.9,27.2,61,3,120
2024,4,1,0,35.7,27.6,62,4,120
2024,4,2,0,35.4,27.3,59,4,110
2024,4,3,0,35.3,27.1,58,4,130
2024,4,4,0,35.5,26.2,62,4,100
2024,4,5,-1,35,26.6,59,3,100
2024,4,6,0,34.3,25.8,65,3,110
2024,4,7,0,34.9,25.9,62,3,120
2024,4,8,0,35,26.2,64,3,140
2024,4,9,0,35,26.7,62,3,120
2024,4,10,0,34.6,27.5,76,4,110
2024,4,11,0,35.1,27.4,63,4,120
2024,4,12,0,35.4,25,61,4,130
2024,4,13,0,36.1,26.7,58,4,120
2024,4,14,0,35.8,27.8,62,3,140
2024,4,15,0,36.9,27.5,61,3,140
2024,4,16,0,36.2,27.2,60,3,130
2024,4,17,0,36.3,26.7,60,3,140
2024,4,18,0,38.2,28,56,3,120
2024,4,19,0,35.4,26.5,59,4,130
2024,4,20,0,36.4,28.3,57,3,120
2024,4,21,0,35.5,27.1,60,3,110
2024,4,22,0,36.7,28.5,59,3,120
2024,4,23,0,37.1,28.9,64,3,120
2024,4,24,0,37.9,29.8,62,3,130
2024,4,25,0,38.2,29.5,61,3,130
2024,4,26,0,38,27.3,58,3,120
2024,4,27,0,38.8,30.1,59,4,120
2024,4,28,0,38,29.8,63,4,120
2024,4,29,0,36.9,28.2,59,4,130
2024,4,30,0,37.4,28.3,61,3,120
2024,5,1,0,38,28.4,59,3,120
2024,5,2,0,36.6,28,55,4,110
2024,5,3,0,36.3,28,58,4,120
2024,5,4,0,36.6,26.8,57,4,120
2024,5,5,-1,36.6,28.6,58,4,130
2024,5,6,0,36.1,28.8,65,4,120
2024,5,7,0,36.4,27.6,58,3,120
2024,5,8,0,36.1,28.8,60,3,120
2024,5,9,0,37,28.9,61,3,120
2024,5,10,-1,35.6,28.7,64,3,120
2024,5,11,0,36.1,27.8,62,3,120
2024,5,12,0,37.5,29.8,61,3,130
2024,5,13,30.5,38.3,24.9,66,3,220
2024,5,14,0.5,36.4,29.4,67,2,110
2024,5,15,0,37.4,27.4,60,3,140
2024,5,16,0,37.7,29,59,3,120
2024,5,17,8.5,37.3,25.4,67,3,110
2024,5,18,-1,36.3,29.3,69,3,170
2024,5,19,36.5,35.2,24.4,81,1,110
2024,5,20,0,37.5,28.8,62,3,120
2024,5,21,0,37.2,29.5,60,3,130
2024,5,22,0,36.6,29.4,59,3,110
2024,5,23,0,36.8,30.1,60,3,110
2024,5,24,0,36.7,30,61,3,120
2024,5,25,40,32.1,25.6,79,3,360
2024,5,26,36.5,29.6,25.5,95,3,340
2024,5,27,2.5,33.2,26.5,80,5,260
2024,5,28,0,33.5,27.9,77,4,260
2024,5,29,34,34,26.7,100,3,80
2024,5,30,-1,35.8,28.5,70,2,100
2024,5,31,0,36.2,29.2,69,3,110
2024,6,1,0,36.9,29.5,64,3,110
2024,6,2,1,36,28.4,67,3,270
2024,6,3,0,34.5,29.3,72,4,260
2024,6,4,0,35.4,28.3,73,3,310
2024,6,5,39.5,32.9,25.5,81,2,320
2024,6,6,29,33.7,24.7,81,2,280
2024,6,7,3,33.1,26.6,84,3,260
2024,6,8,8.5,34.6,27.7,77,2,120
2024,6,9,-1,35.4,28,74,3,130
2024,6,10,-1,36.2,26.3,73,2,220
2024,6,11,0,33.8,28.5,74,3,230
2024,6,12,0,33.9,28.5,74,3,270
2024,6,13,0,34.2,28.7,74,3,270
2024,6,14,2,34.2,27,76,3,200
2024,6,15,42.5,35.7,25.8,81,2,290
2024,6,16,44,33,24.8,80,3,260
2024,6,17,8.5,35,27.2,78,2,130
2024,6,18,2.5,33.5,26.9,86,3,130
2024,6,19,12,35.6,26.6,80,2,120
2024,6,20,-1,34.4,28.2,76,3,120
2024,6,21,3.5,34.5,27.3,78,2,120
2024,6,22,8.5,33.9,27,82,2,110
